Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
5/22/2019	DV	AV4	4WA	4	W	A	NA	0.3245	-3.285	0	0.998	NA	49.85	NA	5.80E-05		11.85	  	0	0.16	0.22	1.41	34.05	3.76	3.17E-01
7/5/2019	DV	AV4	8WA	8	W	A	NA	0.5126	-3.254	37.18	0.999	33.85	33.18	1.13E+01	1.82E+01		10	1.1	1.8	1.5	0.5	0.33			
5/22/2019	DV	AV4	2WA	2	W	A	NA	0.3245	-3.285	0	0.998	32.2	31.4	1.37E+01	2.41E+01		8.4	1.63	2.87	1.74	1.07	0.62	33.35	6.14	7.31E-01
5/22/2019	DV	AV4	1WA	1	W	A	NA	0.3245	-3.285	0	0.998	28.52	28.2	1.81E+02	2.26E+02		8.4	21.49	26.94	29.11	8.9	0.31	27.68	3.27E+02	3.89E+01
5/22/2019	DV	AV4	3WA	3	W	A	NA	0.3245	-3.285	0	0.998	23.44	23.45	6.35E+03	6.32E+03		11.85	535.61	532.91	486.61	82.55	0.17	23.89	4.64E+03	3.91E+02
7/5/2019	DV	AV4	7WA	7	W	A	NA	0.5126	-3.254	37.18	0.999	21.66	21.67	6.27E+04	6.26E+04		10	6273	6259	6266	10	0			
9/24/2019	DV	AV4	10WA	10	W	A	NA	0.1968	-3.324	35.6	0.997	18.7	19.5	1.26E+05	7.21E+04		10	12590	7212	9901	3803	0.38			
11/11/2019	DV	AV4	12WA	12	W	A	NA	0.6527	-3.162	36.57	0.997	18.62	18.51	4.74E+05	5.16E+05		10	47420	51640	49530	2984	0.06			
11/11/2019	DV	AV4	11WA	11	W	A	NA	0.6527	-3.162	36.57	0.997	17.7	17.73	9.30E+05	9.12E+05		10	92950	91190	92070	1245	0.01			
9/24/2019	DV	AV4	9WA	9	W	A	NA	0.1968	-3.324	35.6	0.997	15.64	15.78	1.05E+06	9.54E+05		10	104700	95350	100025	6611	0.07			
11/11/2019	DV	AV4	13WA	13	W	A	NA	0.6527	-3.162	36.57	0.997	17	16.73	1.55E+06	1.88E+06		10	155000	188100	171550	23405	0.14			
5/22/2019	DV	AV4	4WG	4	W	G	NA	0.3245	-3.285	0	0.998	43.45	49.17	5.17E-03	9.36E-05		11.85	0	0	0	0	1.36	NA	NA	
7/5/2019	DV	AV4	8WG	8	W	G	NA	0.5126	-3.254	37.18	0.999	31.26	31.52	7.03E+01	5.84E+01		10	7	5.8	6.4	0.8	0.13			
5/22/2019	DV	AV4	3WG	3	W	G	NA	0.3245	-3.285	0	0.998	22.26	22.14	1.45E+04	1.59E+04		11.85	1226.16	1338.4	1286.08	56.5	0.04	22.19	1.53E+04	1.29E+03
11/11/2019	DV	AV4	12WG	12	W	G	NA	0.6527	-3.162	36.57	0.997	21.35	20.98	6.53E+04	8.52E+04		10	6533	8517	7525	1403	0.19			
11/11/2019	DV	AV4	11WG	11	W	G	NA	0.6527	-3.162	36.57	0.997	22.13	20.53	3.69E+04	1.18E+05		10	3686	11810	7748	5745	0.74			
9/24/2019	DV	AV4	10WG	10	W	G	NA	0.1968	-3.324	35.6	0.997	18.8	18.89	1.18E+05	1.10E+05		10	11760	11020	11390	523	0.05			
7/5/2019	DV	AV4	7WG	7	W	G	NA	0.5126	-3.254	37.18	0.999	20.73	20.84	1.21E+05	1.12E+05		10	12110	11200	11655	643	0.06			
9/24/2019	DV	AV4	9WG	9	W	G	NA	0.1968	-3.324	35.6	0.997	17.41	17.79	3.08E+05	2.36E+05		10	30790	23600	27195	5084	0.19			
11/11/2019	DV	AV4	13WG	13	W	G	NA	0.6527	-3.162	36.57	0.997	18.4	18.33	5.58E+05	5.87E+05		10	55790	58650	57220	2022	0.04			
5/22/2019	DV	AV4	4WH	4	W	H	NA	0.3245	-3.285	0	0.998	33.72	33.52	4.73E+00	5.45E+00		11.85	0.4	0.46	0.55	0.22	0.39	32.72	9.53	8.04E-01
7/5/2019	DV	AV4	8WH	8	W	H	NA	0.5126	-3.254	37.18	0.999	32.18	33.07	3.69E+01	1.96E+01		10	3.7	2	2.8	1.2	0.43			
5/22/2019	DV	AV4	3WH	3	W	H	NA	0.3245	-3.285	0	0.998	21.08	21.31	3.34E+04	2.84E+04		11.85	2816.03	2393.25	2175.25	773.19	0.36	22.16	1.56E+04	1.32E+03
7/5/2019	DV	AV4	7WH	7	W	H	NA	0.5126	-3.254	37.18	0.999	17.23	16.87	1.44E+06	1.87E+06		10	144100	186600	165350	30052	0.18			
5/22/2019	DV	AV4	4WI	4	W	I	NA	0.3245	-3.285	0	0.998	45.36	NA	1.35E-03	NA		11.85	0	  	0			NA	NA	
5/22/2019	DV	AV4	1WI	1	W	I	NA	0.3245	-3.285	0	0.998	35.2	33.46	1.67E+00	5.69E+00		8.4	0.2	0.68	0.41	0.24	0.6	34.39	2.95	3.51E-01
5/22/2019	DV	AV4	2WI	2	W	I	NA	0.3245	-3.285	0	0.998	30.25	29.97	5.36E+01	6.54E+01		8.4	6.38	7.79	7.05	0.71	0.1	30.13	5.86E+01	6.98E+00
7/5/2019	DV	AV4	7WI	7	W	I	NA	0.5126	-3.254	37.18	0.999	27.76	27.68	8.37E+02	8.88E+02		10	83.7	88.8	86	4	0.04			
