Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
3/19/2020	DV	AV4	1B10A	1	B10	A	11.9	0.109	-3.1	33.93	1	14.37	14.21	2.03E+06	2.28E+06	200	10	203160.00	228425.00	215792.00	17865.00	0.08			
3/19/2020	DV	AV4	2B10A	2	B10	A	11.9	0.109	-3.1	33.93	1	16.45	16.32	4.32E+05	4.78E+05	200	10	43180.00	47811.00	45495.00	3275.00	0.07			
3/19/2020	DV	AV4	3B10A	3	B10	A	11.9	0.109	-3.1	33.93	1	15.32	15.71	1.00E+06	7.47E+05	200	10	100348.00	74718.00	87533.00	18123.00	0.21			
8/23/2019	DV	AV4	5B31A	5	B31	A	13.8	0.346	-3.311	36.42	0.999	27.26	26.99	5.84E+02	7.02E+02		10	58.40	70.20	64.00	8.00	0.13			
8/23/2019	DV	AV4	7B31A	7	B31	A	13.8	0.346	-3.311	36.42	0.999	17.36	17.43	5.71E+05	5.45E+05		10	57070.00	54450.00	55760.00	1853.00	0.03			
8/23/2019	DV	AV4	8B31A	8	B31	A	13.8	0.346	-3.311	36.42	0.999	16.55	16.71	1.00E+06	8.93E+05		10	100200.00	89310.00	94755.00	7700.00	0.08			
7/16/2019	DV	AV4	3B31A	3	B31	A	13.8	0.6721	-3.293	37.18	0.999	17.54	17.55	9.24E+05	9.20E+05		14.7	62829.90	62551.00	62690.00	197.00	0.00			
7/16/2019	DV	AV4	4B31A	4	B31	A	13.8	0.6721	-3.293	37.18	0.999	19.79	20.05	1.91E+05	1.59E+05		10	19090.00	15940.00	17515.00	2227.00	0.13			
9/19/2019	DWP	AV4	9B23A	9	B23	A	16.2		-3.3	37.25		19.67	19.61	2.10E+05	2.20E+05	200	10	21160.00	22160.00	21660.00	707.00	0.03			
10/15/2019	DWP	AV4	10B23A	10	B23	A	16.2		-3.21	37.14		27.06	26.59	1.40E+03	1.90E+03	200	10	139.00	194.00	167.00	39.00	0.23			
10/15/2019	DWP	AV4	11B23A	11	B23	A	16.2		-3.21	37.14		23.73	23.67	1.50E+04	1.60E+04	200	10	1523.00	1583.00	1553.00	42.00	0.03			
10/15/2019	DWP	AV4	12B23A	12	B23	A	16.2		-3.21	37.14		20.68	20.56	1.40E+05	1.50E+05	200	10	13640.00	14810.00	14225.00	827.00	0.06			
2/24/2020	DWP	AV4	17B15A	17	B15	A	18.7	0	-3.2884	35.9018	0.9894	16.61	17.011	7.34E+05	5.56E+05	200	10	73442.00	55567.00	64505.00	12640.00	0.20			
2/24/2020	DWP	AV4	18B15A	18	B15	A	18.7	0	-3.2884	35.9018	0.9894	15.87	16.339	1.23E+06	8.90E+05	200	10	123467.00	88952.00	106209.00	24406.00	0.23			
2/24/2020	DWP	AV4	19B15A	19	B15	A	18.7	0	-3.2884	35.9018	0.9894	15.06	15.348	2.18E+06	1.78E+06	200	10	218319.00	178046.00	198183.00	28478.00	0.14			
3/19/2020	DV	AV4	1B10G	1	B10	G	11.9	0.109	-3.1	33.93	1	18.75	18.45	7.83E+04	9.78E+04	200	10	7827.00	9782.00	8804.00	1382.00	0.16			
3/19/2020	DV	AV4	2B10G	2	B10	G	11.9	0.109	-3.1	33.93	1	20.44	20.38	2.23E+04	2.34E+04	200	10	2230.00	2338.00	2284.00	76.00	0.03			
3/19/2020	DV	AV4	3B10G	3	B10	G	11.9	0.109	-3.1	33.93	1	18.13	18.55	1.24E+05	9.09E+04	200	10	12401.00	9092.00	10747.00	2339.00	0.22			
8/23/2019	DV	AV4	5B31G	5	B31	G	13.8	0.346	-3.311	36.42	0.999	22.07	22.25	2.16E+04	1.90E+04		10	2156.00	1896.00	2026.00	184.00	0.09			
