Sample	AV4	Pol1	A9	Animal	Group	Tissue
2B27A	236870.0	67610.0	310131.0	2	B27	A
2B27G	274173.0	59214.0	225138.0	2	B27	G
2B27L	470.0	285.0	3296.0	2	B27	L
2B27H	27334.0	12326.0	50185.0	2	B27	H
4B27A	144.0	122.0	167.0	4	B27	A
4B27G	395.0	301.0	279.0	4	B27	G
4B27L	956.0	591.0	1179.0	4	B27	L
4B27H	583.0	451.0	644.0	4	B27	H
9B27A	3.0	1.2	1.0	9	B27	A
9B27G	4.0	1.6	1.8	9	B27	G
9B27L	19.0	7.7	14.4	9	B27	L
9B27H	10.0	4.5	10.9	9	B27	H
10B27A	4280.0	2126.0	2453.3	10	B27	A
10B27G	3849.0	2711.0	3296.9	10	B27	G
10B27L	3740.0	2444.0	4631.3	10	B27	L
10B27H	1039.0	611.0	1033.5	10	B27	H
12B27A	13.0	9.7	7.7	12	B27	A
12B27G	3.0	1.2	1.2	12	B27	G
12B27L	8.0	6.7	11.2	12	B27	L
12B27H	4.0	4.9	4.9	12	B27	H
17B27A	855866.0	277504.0	760472.9	17	B27	A
17B27G	154740.0	67061.0	121850.2	17	B27	G
17B27L	52096.0	32148.0	78290.0	17	B27	L
17B27H	286874.0	124613.0	341457.7	17	B27	H
19B27A	1302175.0	298471.0	512739.6	19	B27	A
19B27G	233256.0	89052.0	189756.4	19	B27	G
19B27L	11328.0	3467.0	17729.7	19	B27	L
19B27H	56542.0	32752.0	87181.8	19	B27	H
11B27A	0.8	0.9	0.1	11	B27	A
11B27L	3.1	1.6	1.1	11	B27	L
16B27A	154020.7	72522.7	96967.2	16	B27	A
16B27L	7597.9	2579.9	3807.2	16	B27	L
20B27A	299384.7	151091.5	300977.3	20	B27	A
20B27L	29865.8	14945.1	22739.8	20	B27	L
						
						
						
						
						
						
						
						
						
						
						
